,Unnamed: 0,doc_index,original_text,extraction_text,mechanism_type,scope,responsible_entity,actions_taken,contact_info,policy_reference,status_or_effectiveness
128,128,67,"We have zero-tolerance for any breach of human rights and we strive to protect and promote these rights for all our employees and other stakeholders. The Company is committed to maintain a safe and harmonious business environment and workplace for everyone, irrespective of the ethnicity, region, sexual orientation, race, caste, gender, religion, disability, work, designation and such other parameters. The Company has a framework that focuses on good governance, our commitment to abiding by each law,
ensuring timely payment of employee salaries, and providing equal opportunities without exception.
Any grievances are routed to Human Resource function and necessary action is taken in line with underlying polices and regulations applicable to the workplace. The closure is intimated to the aggrieved person. The Company has zero tolerance for sexual harassment
at workplace and has adopted a Policy on Prevention,
Prohibition and Redressal of sexual harassment at workplace. The Company has formulated a Vigil Mechanism Policy intending to provide a mechanism for employees to report violations. The company also has an internal employee grievance redressal and a staff welfare committee for efficient employee engagement and welfare.",Grievances routed to Human Resource function,Other,"employees, other stakeholders",Human Resource function,"Necessary action is taken in line with underlying policies and regulations, closure is intimated to the aggrieved person",,underlying policies and regulations applicable to the workplace,Active
129,129,67,"We have zero-tolerance for any breach of human rights and we strive to protect and promote these rights for all our employees and other stakeholders. The Company is committed to maintain a safe and harmonious business environment and workplace for everyone, irrespective of the ethnicity, region, sexual orientation, race, caste, gender, religion, disability, work, designation and such other parameters. The Company has a framework that focuses on good governance, our commitment to abiding by each law,
ensuring timely payment of employee salaries, and providing equal opportunities without exception.
Any grievances are routed to Human Resource function and necessary action is taken in line with underlying polices and regulations applicable to the workplace. The closure is intimated to the aggrieved person. The Company has zero tolerance for sexual harassment
at workplace and has adopted a Policy on Prevention,
Prohibition and Redressal of sexual harassment at workplace. The Company has formulated a Vigil Mechanism Policy intending to provide a mechanism for employees to report violations. The company also has an internal employee grievance redressal and a staff welfare committee for efficient employee engagement and welfare.","Policy on Prevention, Prohibition and Redressal of sexual harassment at workplace",Policy,employees,Company,"Prevents, prohibits, and redresses sexual harassment at workplace",,"Policy on Prevention, Prohibition and Redressal of sexual harassment at workplace",Active
130,130,67,"We have zero-tolerance for any breach of human rights and we strive to protect and promote these rights for all our employees and other stakeholders. The Company is committed to maintain a safe and harmonious business environment and workplace for everyone, irrespective of the ethnicity, region, sexual orientation, race, caste, gender, religion, disability, work, designation and such other parameters. The Company has a framework that focuses on good governance, our commitment to abiding by each law,
ensuring timely payment of employee salaries, and providing equal opportunities without exception.
Any grievances are routed to Human Resource function and necessary action is taken in line with underlying polices and regulations applicable to the workplace. The closure is intimated to the aggrieved person. The Company has zero tolerance for sexual harassment
at workplace and has adopted a Policy on Prevention,
Prohibition and Redressal of sexual harassment at workplace. The Company has formulated a Vigil Mechanism Policy intending to provide a mechanism for employees to report violations. The company also has an internal employee grievance redressal and a staff welfare committee for efficient employee engagement and welfare.",Vigil Mechanism Policy,Policy,employees,Company,Provides a mechanism for employees to report violations,,Vigil Mechanism Policy,Active
131,131,67,"We have zero-tolerance for any breach of human rights and we strive to protect and promote these rights for all our employees and other stakeholders. The Company is committed to maintain a safe and harmonious business environment and workplace for everyone, irrespective of the ethnicity, region, sexual orientation, race, caste, gender, religion, disability, work, designation and such other parameters. The Company has a framework that focuses on good governance, our commitment to abiding by each law,
ensuring timely payment of employee salaries, and providing equal opportunities without exception.
Any grievances are routed to Human Resource function and necessary action is taken in line with underlying polices and regulations applicable to the workplace. The closure is intimated to the aggrieved person. The Company has zero tolerance for sexual harassment
at workplace and has adopted a Policy on Prevention,
Prohibition and Redressal of sexual harassment at workplace. The Company has formulated a Vigil Mechanism Policy intending to provide a mechanism for employees to report violations. The company also has an internal employee grievance redressal and a staff welfare committee for efficient employee engagement and welfare.",Internal employee grievance redressal,Other,employees,Company,Redresses employee grievances,,,Active
132,132,68,The Company is committed to providing a safe and conducive work environment to all of its employees and workers. Transparency and openness are organisational values practiced across all levels. Employees are encouraged to share their concerns with their reporting manager or the members of the Senior Management. Employees can reach out independently to the Human Resource department if they so choose to.,"Mechanism for employees to share concerns with reporting manager, Senior Management, or Human Resource department",Open-Door,"employees, workers","reporting manager, Senior Management, Human Resource department","Provides a channel for employees to share concerns, ensures a safe and conducive work environment","reporting manager, Senior Management, Human Resource department",Transparency and openness as organisational values,Active
133,133,69,"Any individual who has a grievance or concern regarding a potential violation of Goodyear’s Human Rights Policy may contact the Company’s confidential Integrity Hotline, which is available 24 hours a day, 7 days a week from anywhere in the world via toll-free telephone or by a dedicated website. The Company’s Integrity Hotline allows employees and third parties to report a concern or ask a question, anonymously. The Company’s employees may also report concerns via the internal channels set forth in the Business Conduct Manual. Each report is reviewed by the Goodyear Compliance & Ethics Department to determine how to best address the matter.

The Compliance and Ethics Department reviews each Integrity Hotline matter including any human rights issue reported and, in cases where an allegation of misconduct is substantiated, the Company takes appropriate disciplinary or remedial action. Goodyear strictly prohibits retaliation against individuals for making a report in good faith. ‘Speak Up’ education and awareness campaigns are held to remind employees of the Integrity Hotline and to encourage them to raise questions or concerns.
The weblink of the Integrity Hotline is www.goodyear.ethicspoint.com",Confidential Integrity Hotline and internal channels for reporting human rights violations,Whistleblower,all stakeholders,Goodyear Compliance & Ethics Department,"Reviews reports, determines how to address matters, investigates human rights issues, takes appropriate disciplinary or remedial action if misconduct is substantiated, prohibits retaliation","Toll-free telephone, dedicated website (Integrity Hotline); internal channels (for employees)","Goodyear's Human Rights Policy, Business Conduct Manual","Active, available 24/7, effective"
134,134,69,"Any individual who has a grievance or concern regarding a potential violation of Goodyear’s Human Rights Policy may contact the Company’s confidential Integrity Hotline, which is available 24 hours a day, 7 days a week from anywhere in the world via toll-free telephone or by a dedicated website. The Company’s Integrity Hotline allows employees and third parties to report a concern or ask a question, anonymously. The Company’s employees may also report concerns via the internal channels set forth in the Business Conduct Manual. Each report is reviewed by the Goodyear Compliance & Ethics Department to determine how to best address the matter.

The Compliance and Ethics Department reviews each Integrity Hotline matter including any human rights issue reported and, in cases where an allegation of misconduct is substantiated, the Company takes appropriate disciplinary or remedial action. Goodyear strictly prohibits retaliation against individuals for making a report in good faith. ‘Speak Up’ education and awareness campaigns are held to remind employees of the Integrity Hotline and to encourage them to raise questions or concerns.
The weblink of the Integrity Hotline is www.goodyear.ethicspoint.com",Integrity Hotline,Whistleblower,employees,Company,Allows employees to raise questions or concerns,www.goodyear.ethicspoint.com,Integrity Hotline,Active
135,135,70,"Employees and Directors can make Protected Disclosure to Ombudsperson appointed by the Company. The company has process in place to redress grievances received by officials other than ombudsman. We have also implemented a software tool called Amber, for employees in India to give feedback and raise their concerns. All such feedbacks are taken upon and acted by HR & respective CEO’s office.",Protected Disclosure to Ombudsperson,Whistleblower,"Employees, Directors",Ombudsperson,Allows employees and directors to make protected disclosures,Ombudsperson,Protected Disclosure,Active
136,136,70,"Employees and Directors can make Protected Disclosure to Ombudsperson appointed by the Company. The company has process in place to redress grievances received by officials other than ombudsman. We have also implemented a software tool called Amber, for employees in India to give feedback and raise their concerns. All such feedbacks are taken upon and acted by HR & respective CEO’s office.",Process to redress grievances received by officials,Other,all stakeholders,officials (other than ombudsman),Redresses grievances,officials,Grievance Redressal Process,Active
137,137,70,"Employees and Directors can make Protected Disclosure to Ombudsperson appointed by the Company. The company has process in place to redress grievances received by officials other than ombudsman. We have also implemented a software tool called Amber, for employees in India to give feedback and raise their concerns. All such feedbacks are taken upon and acted by HR & respective CEO’s office.",Software tool called Amber for feedback and concerns,Other,employees in India,HR & respective CEO’s office,"Allows employees to give feedback and raise concerns, which are then acted upon",Amber software tool,Feedback and Concern Mechanism,Active
138,138,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",Employee Satisfaction Enhancement (ESE) department,Open-Door,employees,Employee Satisfaction Enhancement (ESE) department,"Protects human rights of all employees, resolves cases of human rights violation, proactively reaches out to employees, listens to and understands their issues and concerns, and resolves them confidentially.",,,Active
139,139,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",‘Samadhan’ portal,Other,employees,Company,Resolves HR related queries online.,Samadhan portal,,Available
140,140,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",Terms and conditions (under General Conditions of Contract) for protection of human rights in vendor contracts,Policy,vendors,BPCL,Includes explicitly stated terms and conditions for protection of human rights,,General Conditions of Contract,Active
141,141,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",Public grievance system/grievance redressal system for the general public,Other,general public,Company,Provides a system for addressing grievances,,,Active
142,142,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",Grievance Mechanism for customer complaints,Other,customers,BPCL,Addresses customer complaints,online as given in Chapter 14 of Citizen Charter on BPCL website,"Citizen Charter, Chapter 14",Active
143,143,71,"HUMAN RIGHTS AT BPCL

BPCL has a Human Rights Policy duly approved by the Board recently. Corporation believes in equal opportunity for its employees and ensures that there is no discrimination based on caste, tribe, religion, or region in providing various welfare facilities (including but not limited to) to employees'' health, efficiency, financial well-being, social status, satisfaction, employment, growth, remuneration, or development. BPCL, being a responsible organization, complies by all the national and international Human Rights standards. Our philosophy of an energised workplace has resulted in best-in-class HR practices which incorporate state of the art facilities for rightful working and joyful living infusing high energy. All employees are treated with dignity and BPCL has developed a strong and mutually beneficial association with its workforce. 

Employee Satisfaction Enhancement (ESE) department is a unique and innovative initiative taken by the Company in our endeavour to make BPCL ''A Great Place to Work''. ESE also strives to protect human rights of all employees and resolve cases of violation of human rights. ESE''s primary focus area is to reach out to maximum number of employees in a proactive manner, to listen to them, to understand their issues and concerns and aim to resolve them. All issues/ grievances brought to the notice of ESE are dealt with utmost confidentiality. The ‘Samadhan’ portal is also available to resolve HR related queries online.

As a law-abiding corporate citizen, we ensure that the contractors fully comply with their obligations under various statutes including Minimum Wages Act, Payment of Wages Act, Employee Provident Funds Act, Employee State Insurance Act, Contract Labour (Regulation & Abolition) Act etc. as applicable. Provisions of welfare amenities including clean drinking water, clean toilet facilities, rest rooms etc. are extended to all contract labour working in the premises of BPCL. Annual/ Half Yearly Onsite Health Check-Up Camps are conducted for all contract labour. They are also provided training in first – aid on a continuous basis. Additionally, several awareness programs such as Health Talks, Swachhta Pakhwada etc. are conducted on a regular basis to educate the contract labour on various social as well as personal development aspects.

In addition, all our vendor contracts include explicitly stated terms and conditions (under General Conditions of Contract) for protection of human rights. Furthermore, the Company has a public grievance system/ grievance redressal system for the general public. Grievance Mechanism is also available in public domain and can also be accessed online as given in Chapter 14 of Citizen Charter on BPCL website for customer complaints.

INTERNAL GRIEVANCE MECHANISM AT BPCL

BPCL is committed to preventing unlawful discrimination and harassment of its employees and value chain partners. The company conducts human rights reviews and impact assessments throughout the value chain. A Grievance Redressal Procedure is in place to record and resolve grievances, with all issues handled with confidentiality. ESE aims to address genuine grievances and provide feedback for system and policy improvements. Employees can approach ESE in various ways, including face-to-face, telephonic, letter, or email. Unresolved issues are escalated to the relevant SBU or Entity Head, and employees are informed before closing of cases. The entire process flow and FAQs regarding the ESE procedure are published on the company''s Intranet for ease of access to all employees.",Internal Grievance Mechanism at BPCL (Grievance Redressal Procedure),Other,"employees, value chain partners","BPCL, ESE, relevant SBU or Entity Head","Prevents unlawful discrimination and harassment, conducts human rights reviews and impact assessments, records and resolves grievances confidentially, addresses genuine grievances, provides feedback for system and policy improvements, escalates unresolved issues, informs employees before closing cases.","face-to-face, telephonic, letter, email, company's Intranet",Grievance Redressal Procedure,"Active, in place, accessible"
144,144,72,"HHIL’s Vigil Mechanism Policy establishes a framework for reporting and rectifying human rights violations.
Additionally, a dedicated email address (brr@shilgroup.com) is available for reporting grievances or complaints.",HHIL’s Vigil Mechanism Policy,Policy,all stakeholders,HHIL,Establishes a framework for reporting and rectifying human rights violations,brr@shilgroup.com,Vigil Mechanism Policy,Active
145,145,73,"We have a comprehensive Human Rights Policy that applies to all employees of Borosil, including our business associates.The Company expects that all entities we engage with and conduct business with adhere to the principles outlined in this policy. The Management, in collaboration with other functions and committees, oversees the implementation of this policy. Their responsibilities include ensuring that adequate mechanisms are in place for stakeholders to report grievances and taking appropriate action against those who violate the principles of this policy. Details for lodging grievances can be found in our Stakeholder Engagement and Grievance Redressal Policy.",Human Rights Policy and Stakeholder Engagement and Grievance Redressal Policy,Policy,all stakeholders,"The Management, in collaboration with other functions and committees","Oversees policy implementation, ensures mechanisms for reporting grievances, takes appropriate action against violators",Details for lodging grievances can be found in our Stakeholder Engagement and Grievance Redressal Policy,"Human Rights Policy, Stakeholder Engagement and Grievance Redressal Policy",Active
146,146,74,"The Company has HR help desk in our cloud bases HRMS Software, where employee can register their grievances and get it resolved.",HR help desk in our cloud based HRMS Software,Other,employees,HR Department,Employees can register their grievances and get them resolved,HRMS Software,HRMS Software,Active
147,147,75,"Human rights stand as an unwavering top priority for the Company. Through its Unified Code of Conduct, which applies to all employees, business associates, and third-party contractors, the Company unequivocally expresses its commitment to upholding human rights. The Company complies with all laws embodying human rights principles, including those prohibiting child labour, promoting gender equality, safeguarding civil liberties, preventing discrimination, and more. Proactive measures are taken by the Company to address any breaches in these areas.",Unified Code of Conduct,Policy,"all employees, business associates, and third-party contractors",Company,"Upholds human rights, complies with laws embodying human rights principles (prohibiting child labour, promoting gender equality, safeguarding civil liberties, preventing discrimination), takes proactive measures to address any breaches",,Unified Code of Conduct,Active
148,148,76,Online Grievance Management System is in place to redress any kind of grievance by the employees including violation of Human Rights.,Online Grievance Management System,Other,employees,Company,"Redress any kind of grievance, including violation of Human Rights",Online system,Grievance Management System,Active
149,149,77,"Navneet is committed to fostering a positive and professional workplace that prioritises and safeguards fundamental human rights for all employees. As a part of this dedication, we explicitly prohibit any form of human rights violation. To uphold this commitment, various human rights aspects are detailed in the ‘Company’s Code of Conduct and Ethics of Employees’ and the ‘Prevention of Sexual Harassment Policy’. An awareness session has been conducted for top management and department heads to educate them about human rights principles.",Company’s Code of Conduct and Ethics of Employees and Prevention of Sexual Harassment Policy,Policy,employees,"Navneet, Top Management, Department Heads","Fosters a positive and professional workplace, safeguards fundamental human rights, prohibits human rights violations",,"Company’s Code of Conduct and Ethics of Employees, Prevention of Sexual Harassment Policy","Active, ongoing"
150,150,78,"The company regards respect for human rights as one of its fundamental and core values and strives to support, protect and promote human rights to ensure that fair and ethical business and employment practices are followed. 

The company is committed to maintain a safe and harmonious business environment and workplace for everyone, irrespective of ethnicity, region, sexual orientation, race, caste, gender, religion, disability, work, designation and such other parameters. The company believes that every workplace shall be free from  Violence, harassment, intimidation and/or any other unsafe or disruptive conditions, either due to external or internal threats. Accordingly, the company has aimed to provide reasonable safeguards for the benefit of employees at the workplace, while having due regard for their privacy and dignity.

The company also has zero tolerance towards all forms of child labour, violence or physical, sexual, psychological or verbal abuse. All stakeholders (Internal/External) have 24*7 access to raise their grievances and report anonymously any breach with respect to the Human Rights Policy or whistle blower matters at vigilance. officer@vmartretail.com. In case of ambiguity, the employee can raise their concerns to speakup@vmart.co.in also.",Mechanism for stakeholders to raise grievances and report anonymously any breach with respect to the Human Rights Policy or whistle blower matters,Whistleblower,"all stakeholders, employees",Company,Allows stakeholders to raise grievances and report anonymously any breach of Human Rights Policy or whistle blower matters; employees can raise concerns,"vigilance.officer@vmartretail.com, speakup@vmart.co.in",Human Rights Policy,Active
151,151,79,"As outlined in its “Human Rights Policy”, the Company is committed to respect the human rights of its workers, communities and those affected by it wherever the Company does business (including its contractors and suppliers) in line with an internationally recognised framework. The Company integrates human rights principles throughout its sustainability framework. This commitment goes beyond legal compliance; it involves proactive measures like due diligence to assess potential risks and aligning existing practices with human rights considerations. The Company actively promotes awareness among employees and engages with stakeholders on these issues. Respect for diversity, equal opportunity, and the rights of vulnerable groups is paramount. This comprehensive approach fosters not only respect for human rights but also contributes to positive community development and a sustainable future. The Company has also established a mechanism for registering complaints, which can be accessed at Link : https://symphonylimited.com/wp-content/uploads/2024/05/Vigil_Mechanism_Policy_Eng. pdf The Company’s ESG Committee oversees and addresses human rights impacts or issues at the Board level and additionally Audit Committee reviews the critical human rights complaints on a quarterly basis. In addition to the above, the Company has a dedicated email ID companysecretary@symphonylimited.com and contact number +91-79 66211111 for anonymous reporting of issues/concerns.",Human Rights Policy and integrated human rights principles throughout its sustainability framework,Policy,"workers, communities, contractors, suppliers, employees, stakeholders",The Company,"Respects human rights, integrates principles, conducts due diligence, assesses risks, aligns practices, promotes awareness, engages with stakeholders, ensures diversity, equal opportunity, and rights of vulnerable groups",,Human Rights Policy,Active
