,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Zero net deforestation in supply chain of paper used in cigarette sticks by 2030,Biodiversity,Zero net deforestation in supply chain of paper used in cigarette sticks,Zero net deforestation,2030,
1442,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to clean drinking water within 3 km by 2030.,Health & Safety,Ensure contracted farmers have access to clean drinking water,100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers within 3 km,2030,
1443,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents at factories and office premises (YoY).,Health & Safety,Maintain zero accidents in factories and offices,Zero accidents,More than 10 years; YoY,
1444,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment (PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.,Health & Safety,Train contracted farmers in safe working environment and Personal Protective Equipment (PPE),100% of contracted farmers,Ongoing,
1445,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Continue to be an equal opportunity employer (YoY).,CSR,Be an equal opportunity employer,N/A,YoY,
1446,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Continue to be a ‘Great Place to Work’ organization (YoY).,CSR,Be a ‘Great Place to Work’ organization,N/A,YoY,
1447,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",20% increase in learning manhours by FY’25 and sustain thereafter.,CSR,Increase learning manhours,20% increase in learning manhours,FY’25 and sustain thereafter,
1448,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Endeavour to have zero child and no forced labour across operations (YoY).,Human Rights,Have zero child and no forced labour across operations,Zero child and no forced labour,YoY,
1449,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Established an ESG Committee on Board.,Governance,Establish an ESG Committee on Board,N/A,N/A,
1450,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of Conduct.,Governance,Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of Conduct,Zero tolerance; 100% employee training,Ongoing,
1451,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Adherence to applicable laws and regulations. Zero tolerance for deviations.,Governance,Adherence to applicable laws and regulations,Zero tolerance for deviations,ongoing,Quantitative
1452,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.,CSR,Obtain ISO 26000 certification for cigarette manufacturing facilities,ISO 26000 certification,2028,Quantitative
1453,580,"Environment:
Energy and Emissions
Carbon neutral in operations (cigarette and reconstituted tobacco manufacturing plants) by 2030
1. 50% of the total electricity consumed across manufacturing operations to be from renewable
sources by 2030;
2. 30% reduction in Greenhouse Gas (GHG) emissions in manufacturing operations by 2030.
Water Management
1. Replenish 30% of water consumed by 2030, and each year thereafter;
2. 5% reduction in water consumption per unit of production in cigarette manufacturing by 2030
Waste Management
1. Zero waste to landfill across manufacturing operations by 2030.
Biodiversity Management
1. 100% of the tobacco purchased from GPIL contracted farmers will continue abiding by the prohibition
on the use of highly hazardous pesticides (HHPs) as defined by FAO and WHO guidelines (YOY)*
2. Zero net deforestation in supply chain of paper used in cigarette sticks by 2030.
Social:
Community Development:
To ensure 100% of GPIL contracted Vinukonda Burley (VKBU) tobacco farmers have access to
clean drinking water within 3 km by 2030.
Human Capital Development
1. Zero accidents in factories and offices for more than 10 years; Continuous endeavor to maintain zero accidents
at factories and office premises (YoY).
2. 100% of contracted farmers are to be trained in a safe working environment and Personal Protective Equipment
(PPE) during the usage of Crop Protection Agents (CPA) and handling green leaf.
3. Continue to be an equal opportunity employer (YoY).
4. Continue to be a ‘Great Place to Work’ organization (YoY).
5. 20% increase in learning manhours by FY’25 and sustain thereafter.
Human Rights
1. Endeavour to have zero child and no forced labour across operations (YoY).
Governance:
Corporate Governance:
1. Established an ESG Committee on Board.
2. Zero tolerance for violation of Company’s Code of Conduct and 100% employee training on Code of
Conduct.
3. Adherence to applicable laws and regulations. Zero tolerance for deviations.
4. Obtain ISO 26000 certification (Social Responsibility) for cigarette manufacturing facilities by 2028.
5. Ensure year-on-year compliance with ISO 27001 certification (Information Security).",Ensure year-on-year compliance with ISO 27001 certification (Information Security).,Governance,Ensure year-on-year compliance with ISO 27001 certification,ISO 27001 certification compliance,year-on-year,Quantitative
1454,582,"The Company is committed to adopting advanced technologies to reduce emissions and enhance  environmental sustainability. Additionally, it is actively developing employee engagement plans to foster a culture of involvement and empowerment within our organization.",The Company is committed to adopting advanced technologies to reduce emissions and enhance environmental sustainability.,Climate,Reduce emissions and enhance environmental sustainability through advanced technologies,null,ongoing,
1455,582,"The Company is committed to adopting advanced technologies to reduce emissions and enhance  environmental sustainability. Additionally, it is actively developing employee engagement plans to foster a culture of involvement and empowerment within our organization.","Additionally, it is actively developing employee engagement plans to foster a culture of involvement and empowerment within our organization.",Other,Develop employee engagement plans to foster a culture of involvement and empowerment,null,ongoing,
1456,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",endeavouring to define both immediate and long term goals for Sustainability-related KPIs,Other,Define immediate and long term goals for Sustainability-related KPIs,null,immediate and long term,Qualitative
1457,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",Climate change mitigation,Climate,Mitigate climate change,null,ongoing,Qualitative
1458,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",Energy efficiency,Climate,Improve energy efficiency,null,ongoing,Qualitative
1459,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",Water conservation,Biodiversity,Conserve water,null,ongoing,Qualitative
1460,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",Waste management,Other,Manage waste,null,ongoing,Qualitative
1461,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",Air emission reduction,Climate,Reduce air emissions,null,ongoing,Qualitative
1462,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",GHG mitigation,Climate,Mitigate GHG,null,ongoing,Qualitative
1463,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",prioritizes the well-being of its employees and workers through rigorous Health and safety practices,Health & Safety,Prioritize well-being of employees and workers through rigorous Health and safety practices,null,ongoing,Qualitative
